28/05 12:25 | INFO     | Finished generating ChatGPT output!
28/05 12:25 | INFO     | generate_linear_trajectory desc='move to safe hover above handle midpoint' start=[-0.3887993829569245, 0.6538050429520935, 0.9597697721155961, 0.0] end=[-0.319, -0.127, 0.875, -0.03] end_px=[198, 37]
28/05 12:25 | INFO     | Executing generated trajectory...
28/05 12:25 | INFO     | wrist_torque: 189.1524635701154 gripper_torque: 311.708049554333
28/05 12:25 | INFO     | wrist_torque: 30.664646618232034 gripper_torque: 40.89505432545309
28/05 12:25 | INFO     | wrist_torque: 45.72377370967527 gripper_torque: 71.19985036898372
28/05 12:25 | INFO     | wrist_torque: 57.821181685032464 gripper_torque: 95.35247929805035
28/05 12:25 | INFO     | wrist_torque: 92.84512419953249 gripper_torque: 165.17674427932332
28/05 12:25 | INFO     | wrist_torque: 84.02902939422731 gripper_torque: 152.3438558806419
28/05 12:25 | INFO     | wrist_torque: 29.541987450324847 gripper_torque: 48.50461872337057
28/05 12:25 | INFO     | wrist_torque: 23.47560339953495 gripper_torque: 37.685943745269796
28/05 12:25 | INFO     | wrist_torque: 13.853021645901435 gripper_torque: 19.581213740428073
28/05 12:25 | INFO     | wrist_torque: 7.87274867718395 gripper_torque: 8.742534303782392
28/05 12:25 | INFO     | wrist_torque: 4.752755422345466 gripper_torque: 5.920060885956458
28/05 12:25 | INFO     | wrist_torque: 2.045121181201274 gripper_torque: 4.895472267248007
28/05 12:25 | INFO     | wrist_torque: 2.342787699249263 gripper_torque: 8.638606344596104
28/05 12:25 | INFO     | wrist_torque: 11.014516610408998 gripper_torque: 25.131314765661557
28/05 12:25 | INFO     | wrist_torque: 19.85565899439924 gripper_torque: 42.033236202161724
28/05 12:25 | INFO     | wrist_torque: 16.049954748296035 gripper_torque: 33.75000594294323
28/05 12:25 | INFO     | wrist_torque: 7.956821638136801 gripper_torque: 17.104885029920332
28/05 12:25 | INFO     | wrist_torque: 3.2540758451879186 gripper_torque: 7.402036742657625
28/05 12:25 | INFO     | wrist_torque: 0.9055317338823663 gripper_torque: 2.496538743218581
28/05 12:25 | INFO     | wrist_torque: 0.7335179221635978 gripper_torque: 0.9307099114331359
28/05 12:25 | INFO     | Finished executing generated trajectory!
